行为编号,所属活动,开始时间,结束时间,行为类型,主体,客体（行为目的）,布鲁姆教育目标分类,任务完成情况,工具,共同体（互动范围）,证据来源,备注
B25,AV1,0:01:26,0:01:29,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B26,AV1,0:01:29,0:01:32,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B27,AV1,0:01:32,0:01:35,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B28,AV1,0:01:35,0:01:38,刺激回忆旧知,T&S,会议之前比例知识,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B29,AV1,0:01:38,0:01:41,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B30,AV1,0:01:41,0:01:44,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B31,AV1,0:01:44,0:01:47,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B32,AV1,0:01:47,0:01:50,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B33,AV1,0:01:50,0:01:53,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B34,AV1,0:01:53,0:01:56,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B35,AV1,0:01:56,0:01:59,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B36,AV1,0:01:59,0:02:02,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B37,AV1,0:02:02,0:02:05,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B38,AV1,0:02:05,0:02:08,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B39,AV1,0:02:08,0:02:11,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B40,AV1,0:02:11,0:02:14,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B41,AV1,0:02:14,0:02:17,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B42,AV1,0:02:17,0:02:20,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B43,AV1,0:02:20,0:02:23,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B44,AV1,0:02:23,0:02:26,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B45,AV1,0:02:26,0:02:29,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B46,AV1,0:02:29,0:02:32,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B47,AV1,0:02:32,0:02:35,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B48,AV1,0:02:35,0:02:38,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B49,AV1,0:02:38,0:02:41,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B50,AV1,0:02:41,0:02:44,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B51,AV1,0:02:44,0:02:47,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B52,AV1,0:02:47,0:02:50,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B53,AV1,0:02:50,0:02:53,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B54,AV1,0:02:53,0:02:56,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B55,AV1,0:02:56,0:02:59,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B56,AV1,0:02:59,0:03:00,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B57,AV2,0:03:00,0:03:03,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B58,AV2,0:03:03,0:03:06,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B59,AV2,0:03:06,0:03:09,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B60,AV2,0:03:09,0:03:12,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B61,AV2,0:03:12,0:03:15,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B62,AV2,0:03:15,0:03:18,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B63,AV2,0:03:18,0:03:21,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B64,AV2,0:03:21,0:03:24,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B65,AV2,0:03:24,0:03:27,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B66,AV2,0:03:27,0:03:30,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B67,AV2,0:03:30,0:03:33,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B68,AV2,0:03:33,0:03:36,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B69,AV2,0:03:36,0:03:39,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B70,AV2,0:03:39,0:03:42,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B71,AV2,0:03:42,0:03:45,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B72,AV2,0:03:45,0:03:48,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B73,AV2,0:03:48,0:03:51,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B74,AV2,0:03:51,0:03:54,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B75,AV2,0:03:54,0:03:57,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B76,AV2,0:03:57,0:04:00,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B77,AV2,0:04:00,0:04:03,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B78,AV2,0:04:03,0:04:06,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B79,AV2,0:04:06,0:04:09,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B80,AV2,0:04:09,0:04:12,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B81,AV2,0:04:12,0:04:15,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B82,AV2,0:04:15,0:04:18,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B83,AV2,0:04:18,0:04:21,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B84,AV2,0:04:21,0:04:24,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B85,AV2,0:04:24,0:04:27,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B86,AV2,0:04:27,0:04:30,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B87,AV2,0:04:30,0:04:33,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B88,AV2,0:04:33,0:04:36,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B89,AV2,0:04:36,0:04:39,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B90,AV2,0:04:39,0:04:42,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B91,AV2,0:04:42,0:04:45,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B92,AV2,0:04:45,0:04:48,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B93,AV2,0:04:48,0:04:51,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B94,AV2,0:04:51,0:04:54,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B95,AV2,0:04:54,0:04:57,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B96,AV2,0:04:57,0:05:00,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B97,AV2,0:05:00,0:05:03,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B98,AV2,0:05:03,0:05:06,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B99,AV2,0:05:06,0:05:09,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B100,AV2,0:05:09,0:05:12,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B101,AV2,0:05:12,0:05:15,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B102,AV2,0:05:15,0:05:18,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B103,AV2,0:05:18,0:05:21,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B104,AV2,0:05:21,0:05:24,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B105,AV2,0:05:24,0:05:27,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B106,AV2,0:05:27,0:05:30,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B107,AV2,0:05:30,0:05:33,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B108,AV2,0:05:33,0:05:36,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B109,AV2,0:05:36,0:05:39,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B110,AV2,0:05:39,0:05:42,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B111,AV2,0:05:42,0:05:45,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B112,AV2,0:05:45,0:05:48,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B113,AV2,0:05:48,0:05:51,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B114,AV2,0:05:51,0:05:54,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B115,AV2,0:05:54,0:05:57,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B116,AV2,0:05:57,0:06:00,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B117,AV2,0:06:00,0:06:03,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B118,AV2,0:06:03,0:06:06,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B119,AV2,0:06:06,0:06:09,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B120,AV2,0:06:09,0:06:12,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B121,AV2,0:06:12,0:06:15,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B122,AV2,0:06:15,0:06:18,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B123,AV2,0:06:18,0:06:21,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B124,AV2,0:06:21,0:06:24,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B125,AV2,0:06:24,0:06:27,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B126,AV2,0:06:27,0:06:30,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B127,AV2,0:06:30,0:06:33,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B128,AV2,0:06:33,0:06:36,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B129,AV2,0:06:36,0:06:39,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B130,AV2,0:06:39,0:06:42,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B131,AV2,0:06:42,0:06:45,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B132,AV2,0:06:45,0:06:48,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B133,AV2,0:06:48,0:06:51,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B134,AV2,0:06:51,0:06:54,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B135,AV2,0:06:54,0:06:57,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B136,AV2,0:06:57,0:07:00,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B137,AV2,0:07:00,0:07:03,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B138,AV2,0:07:03,0:07:06,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B139,AV2,0:07:06,0:07:09,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B140,AV2,0:07:09,0:07:12,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B141,AV2,0:07:12,0:07:15,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B142,AV2,0:07:15,0:07:18,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B143,AV2,0:07:18,0:07:21,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B144,AV2,0:07:21,0:07:24,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B145,AV2,0:07:24,0:07:27,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B146,AV2,0:07:27,0:07:30,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B147,AV2,0:07:30,0:07:33,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B148,AV2,0:07:33,0:07:36,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B149,AV2,0:07:36,0:07:39,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B150,AV2,0:07:39,0:07:42,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B151,AV2,0:07:42,0:07:45,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B152,AV2,0:07:45,0:07:48,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B153,AV2,0:07:48,0:07:51,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B154,AV2,0:07:51,0:07:54,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B155,AV2,0:07:54,0:07:57,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B156,AV2,0:07:57,0:08:00,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B157,AV2,0:08:00,0:08:03,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B158,AV2,0:08:03,0:08:06,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B159,AV2,0:08:06,0:08:09,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B160,AV2,0:08:09,0:08:12,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B161,AV2,0:08:12,0:08:15,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
