行为编号,所属活动,开始时间,结束时间,行为类型,主体,客体（行为目的）,布鲁姆教育目标分类,任务完成情况,工具,共同体（互动范围）,证据来源,备注
B5,AV2,0:03:27,0:03:30,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B5,AV2,0:03:30,0:03:33,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B5,AV2,0:03:33,0:03:36,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:36,0:03:39,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:39,0:03:42,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:42,0:03:45,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:45,0:03:48,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:48,0:03:51,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:51,0:03:54,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:54,0:03:57,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:03:57,0:04:00,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:00,0:04:03,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:03,0:04:06,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:06,0:04:09,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:09,0:04:12,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:12,0:04:15,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:15,0:04:18,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:18,0:04:21,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:21,0:04:24,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:24,0:04:27,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:27,0:04:30,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:30,0:04:33,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:33,0:04:36,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:36,0:04:39,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:39,0:04:42,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B6,AV2,0:04:42,0:04:45,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么信息,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:04:45,0:04:48,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:04:48,0:04:51,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:04:51,0:04:54,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:04:54,0:04:57,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:04:57,0:05:00,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:00,0:05:03,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:03,0:05:06,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:06,0:05:09,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:09,0:05:12,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:12,0:05:15,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:15,0:05:18,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:18,0:05:21,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:21,0:05:24,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:24,0:05:27,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:27,0:05:30,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:30,0:05:33,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:33,0:05:36,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:36,0:05:39,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:39,0:05:42,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:42,0:05:45,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:45,0:05:48,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:48,0:05:51,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:51,0:05:54,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:54,0:05:57,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:05:57,0:06:00,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:06:00,0:06:03,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:06:03,0:06:06,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:06:06,0:06:09,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B7,AV2,0:06:09,0:06:12,诱发学习行为/引出行为,T&S,按比例放大是什么意思,理解,完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
B8,AV2,0:06:12,0:06:15,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:15,0:06:18,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:18,0:06:21,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:21,0:06:24,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:24,0:06:27,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:27,0:06:30,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:30,0:06:33,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:33,0:06:36,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:36,0:06:39,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:39,0:06:42,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:42,0:06:45,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:45,0:06:48,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:48,0:06:51,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:51,0:06:54,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:54,0:06:57,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:06:57,0:07:00,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:00,0:07:03,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:03,0:07:06,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:06,0:07:09,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:09,0:07:12,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:12,0:07:15,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:15,0:07:18,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:18,0:07:21,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:21,0:07:24,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:24,0:07:27,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,部分完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B8,AV2,0:07:27,0:07:30,诱发学习行为/引出行为,T&S,概念理解后，要求小组讨论，如何解决题目,应用,完成,ppt+口头讲述,S_group,"V, R",[新知学习]
B9,AV2,0:07:30,0:07:33,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:33,0:07:36,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:36,0:07:39,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:39,0:07:42,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:42,0:07:45,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:45,0:07:48,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:48,0:07:51,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:51,0:07:54,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:54,0:07:57,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:07:57,0:08:00,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:08:00,0:08:03,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:08:03,0:08:06,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:08:06,0:08:09,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:08:09,0:08:12,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B9,AV2,0:08:12,0:08:15,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
